序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
166,cn_000538,云南白药,89.1,88.03,-1.44
167,cn_002244,滨江集团,3.98,3.94,-1.5
168,cn_601669,中国电建,7.25,7.13,-1.52
169,cn_002254,泰和新材,17.86,17.63,-1.56
170,cn_600905,三峡能源,7.07,6.96,-1.56
171,cn_601360,三六零,12.23,12.06,-1.63
172,cn_300015,爱尔眼科,48.3,47.7,-1.63
173,cn_600887,伊利股份,43.15,42.5,-1.71
174,cn_002223,鱼跃医疗,34.75,34.44,-1.74
175,cn_002156,通富微电,20.22,20.05,-1.86
176,cn_300413,芒果超媒,45.29,44.95,-1.86
177,cn_603899,晨光文具,65.5,64.33,-1.91
178,cn_603719,良品铺子,43.65,42.17,-1.95
179,cn_002166,莱茵生物,8.52,8.36,-1.99
180,cn_603005,晶方科技,43.59,42.94,-2.1
181,cn_002199,东晶电子,7.7,7.56,-2.2
182,cn_300782,卓胜微,312.99,307.0,-2.2
183,cn_688981,中芯国际,56.54,56.01,-2.2
184,cn_002138,顺络电子,36.23,35.45,-2.31
185,cn_002189,中光学,20.3,19.86,-2.36
186,cn_688003,天准科技,36.89,36.0,-2.41
187,cn_600151,航天机电,11.95,11.69,-2.58
188,cn_603288,海天味业,123.35,120.05,-2.76
189,cn_603259,药明康德,127.76,122.9,-2.77
190,cn_600511,国药股份,30.71,29.96,-2.85
191,cn_000875,吉电股份,6.85,6.65,-3.06
192,cn_600660,福耀玻璃,50.99,49.26,-3.41
193,cn_000661,长春高新,284.32,275.81,-3.51
194,cn_002202,金风科技,19.85,19.35,-3.73
195,cn_300122,智飞生物,128.5,127.85,-3.74
196,cn_600276,恒瑞医药,52.0,49.62,-4.23
197,cn_002185,华天科技,13.7,13.3,-4.39
198,cn_002090,金智科技,11.25,10.7,-5.39
199,cn_601100,恒立液压,89.6,83.68,-5.54
200,cn_002438,江苏神通,16.14,14.83,-6.26
